,index,address,animal,building_floor,d_to_bank,d_to_coffe,d_to_conv,d_to_metro,elevator,id,loc,metro_count,parking,price,room_floor,room_options,room_size,room_type,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,biddet,d_to_fancy,park,distance_gn,distance_md,d_to_mac,star_bucks,population,elder,elder_ratio,totalbanks,bank_ratio
803,870,서울특별시 동대문구 휘경동,False,5,295.0,351.0,86.0,314.0,False,578c9e5421031964a5a05327,"[127.055850021, 37.5874186602]",12.0,False,4300.0,-1,"[0, 1, 2, 4, 7, 9, 11, 3, 6]",19.8,원룸,1,1,1,1,1,0,1,1,0,1,0,1,0,6.69535247715,6.58573767909,10.5477729871,8.40673587753,0.621516796102,0.376478995146,49628.5333333,7085.33333333,0.142767332771,9.85714285714,0.000198618459888
804,871,서울특별시 마포구 대흥동,False,3,235.0,813.0,96.0,129.0,False,57b3f6318f162c4d49a62f62,"[126.943216288, 37.5466463547]",24.0,False,9000.0,1,"[0, 1, 6, 7, 11, 9]",19.8,원룸,1,1,0,0,0,0,1,1,0,1,0,1,0,3.9446850288,4.05417485194,7.7122606355,2.69535761088,0.697422627511,0.473328843625,14753.0,1883.0,0.127635057276,5.0,0.000338914119162
805,872,서울특별시 중구 의주로1가,True,15,170.0,410.0,3.0,126.0,True,57109c43dc82b24fee0219c9,"[126.967949617, 37.5652882871]",15.0,True,13800.0,8,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",36.3,원룸,1,1,1,1,1,1,1,1,1,1,1,1,1,1.21537933677,5.50428224672,8.05204597576,0.311232624777,0.411823588701,0.214190126793,16771.875,2554.25,0.152293646357,26.125,0.00155766722564
806,873,서울특별시 성동구 행당동,False,4,176.0,79.0,114.0,153.0,False,574be8b81b953d04535519f8,"[127.03940902, 37.5593538989]",21.0,False,25300.0,2,"[6, 11]",49.5,투룸,0,0,0,0,0,0,1,0,0,0,0,1,0,3.43133275344,4.09371526256,7.11108493276,6.54073287675,0.324182033115,0.248634040399,33947.2222222,4304.33333333,0.126794861304,6.94117647059,0.000204469644825
807,874,서울특별시 동작구 상도동,False,4,74.0,34.0,99.0,183.0,False,57e8996526379d0a77318db0,"[126.954143131, 37.4947136932]",9.0,False,8600.0,4,"[0, 1, 3, 4, 6, 7, 9, 11]",16.5,원룸,1,1,0,1,1,0,1,1,0,1,0,1,0,8.15394321586,2.9204183878,4.81869544304,7.69683766114,0.247074787896,0.0997144636803,51746.125,6822.5,0.13184562129,8.26666666667,0.000159754313326
808,875,서울특별시 동대문구 휘경동,False,8,129.0,160.0,29.0,68.0,True,57fb2055b5534561813f5143,"[127.057718186, 37.5903586007]",15.0,False,6500.0,2,"[0, 1, 2, 3, 4, 9, 11, 7, 6]",19.8,원룸,1,1,1,1,1,0,1,1,0,1,0,1,0,7.04970725027,6.88144786616,10.9129559017,8.67013798517,0.498730688733,0.149566550178,49628.5333333,7085.33333333,0.142767332771,9.85714285714,0.000198618459888
809,876,서울특별시 관악구 봉천동,False,4,92.0,166.0,150.0,438.0,False,56d269bf81864438f5151aad,"[126.950734738, 37.4776652468]",5.0,False,10600.0,3,"[0, 1, 3, 4, 5, 6, 7, 9, 10, 11]",26.4,원룸,1,1,0,1,1,1,1,1,0,1,1,1,0,9.69111136865,4.71047999567,5.66805711592,9.61439695334,0.349515084184,0.393295324441,48114.0,6002.81818182,0.124762401418,5.47368421053,0.000113764896091
810,877,서울특별시 강서구 화곡동,True,7,248.0,362.0,129.0,830.0,True,579c1ec010974a1d36e8840b,"[126.848362971, 37.5456976859]",8.0,True,6000.0,2,"[0, 1, 6, 7, 8]",33.0,원룸,1,1,0,0,0,0,1,1,1,0,0,0,0,11.93849199,2.99553339767,14.9753950208,10.4909753165,0.973457954204,1.04769356411,56970.4761905,6623.9047619,0.116269078386,7.57894736842,0.000133032894847
811,878,서울특별시 용산구 청파동2가,False,5,176.0,46.0,49.0,220.0,False,5770cc50d80c884751eded83,"[126.969718974, 37.5451532588]",15.0,False,9200.0,4,"[0, 1, 4, 6, 7, 9, 11]",26.4,원룸,1,1,0,0,1,0,1,1,0,1,0,1,0,2.42142575002,3.2622400203,6.03644186893,2.0647581377,1.0906979758,0.22121117007,29051.0588235,4234.11764706,0.145747446686,10.75,0.000370038147845
812,879,서울특별시 성동구 용답동,True,2,243.0,643.0,196.0,238.0,False,57f360a23d9c61672fe3a7c0,"[127.048446314, 37.5679856852]",17.0,False,4000.0,1,[],36.3,투룸,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45157718332,4.69053528469,8.31093349183,7.33855000128,1.32512119452,1.1457864439,17101.0,2334.0,0.136483246594,3.0,0.000175428337524
813,880,서울특별시 동대문구 이문동,False,3,232.0,164.0,96.0,587.0,False,57fc71c292fdfc364b5c66dd,"[127.057037864, 37.5950296731]",17.0,False,5800.0,3,"[0, 1, 6, 8, 7]",33.0,원룸,1,1,0,0,0,0,1,1,1,0,0,0,0,7.43670368075,7.40371597424,11.3680762825,8.80764648443,0.439845477975,0.393959647118,49628.5333333,7085.33333333,0.142767332771,9.85714285714,0.000198618459888
814,881,서울특별시 마포구 연남동,False,4,154.0,157.0,131.0,690.0,False,57ad7d7e7ee86d6f57bb6b78,"[126.926447372, 37.5636443289]",14.0,False,6800.0,2,"[0, 1, 7, 8, 11]",26.4,원룸,1,1,0,0,0,0,0,1,1,0,0,1,0,4.87124060593,2.59266206052,10.0818938074,3.42546017732,1.03241246651,0.53665752821,18950.0,2445.0,0.129023746702,1.0,5.27704485488e-05
815,882,서울특별시 광진구 화양동,False,3,68.0,188.0,52.0,248.0,False,57cd2e6f88c3bd6de55c0ab3,"[127.067289881, 37.5420457392]",11.0,False,5300.0,-1,"[0, 1, 7, 9, 11]",16.5,원룸,1,1,0,0,0,0,0,1,0,1,0,1,0,2.83266639004,1.44788030915,6.96539923202,9.29058588804,0.780280780422,0.339859672043,24506.0,2123.0,0.0866318452624,9.0,0.000367256998286
