loc,room_type,size,room_floor,building_floor,parking,elevator,heat_type,animal,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,bidet,price
"[127.06657948793156, 37.54228040177826]",원룸,21.5,2,6,True,True,개별 난방,False,True,True,False,False,True,False,False,True,False,True,False,True,False,7100.0
"[127.04191002224363, 37.56293179659478]",투룸,49.5,3,3,False,False,개별 난방,False,False,False,False,False,False,False,True,False,True,False,False,False,False,7100.0
"[127.07777628205955, 37.61980224794286]",쓰리룸,52.8,3,4,True,False,개별 난방,False,False,False,False,False,False,False,True,False,False,False,False,False,False,14300.0
"[127.03871000687552, 37.564569098476625]",원룸,13.2,-1,3,False,False,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,6500.0
"[127.08717000148559, 37.53935136255597]",원룸,23.1,-1,4,False,False,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,False,False,3800.0
"[127.05983254091186, 37.59512920052166]",원룸,16.5,1,4,False,False,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,4800.0
"[127.07294038049994, 37.622901128821226]",원룸,23.1,3,4,False,False,중앙 난방,False,True,True,True,True,True,True,True,True,False,True,False,True,False,6510.0
"[127.06184116722943, 37.60317581522632]",원룸,26.4,2,5,False,False,개별 난방,False,True,True,False,False,False,False,True,True,False,True,False,False,False,4300.0
"[127.0512978015, 37.5929888583]",원룸,18.2,-1,4,False,False,중앙 난방,False,True,True,True,True,True,False,True,True,False,True,False,False,False,5500.0
"[127.0572455757, 37.5941970564]",원룸,23.1,1,3,False,False,개별 난방,False,True,True,True,True,False,False,True,True,True,False,False,False,False,4000
"[127.0579085758391, 37.59057834956503]",원룸,26.4,6,7,False,True,개별 난방,False,True,True,True,True,True,False,True,True,True,False,False,False,False,6600.0
"[127.07690974650096, 37.6186891951338]",오피스텔,29.7,6,13,True,True,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,False,False,7100.0
"[127.07011399761404, 37.541849480289656]",1.5룸,36.3,-1,3,False,False,개별 난방,False,True,True,False,False,False,False,False,True,True,False,False,True,False,5300.0
"[126.91127967377744, 37.583412538722904]",원룸,21.4,3,5,True,False,개별 난방,False,True,True,False,False,False,False,True,True,False,True,False,False,False,5300.0
"[127.0734066005, 37.6224179106]",원룸,23.1,2,5,True,False,중앙 난방,False,True,True,False,True,True,False,True,True,False,True,False,False,False,5600.0
"[127.06035577232161, 37.59244037503736]",투룸,36.3,-1,2,False,False,개별 난방,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5000
"[127.07451269403704, 37.622950601715324]",원룸,19.799999999999997,5,6,False,True,개별 난방,False,True,True,False,True,True,False,True,True,True,True,False,False,False,5300.0
"[127.0728067538076, 37.54621589490432]",원룸,23.1,7,8,False,True,개별 난방,False,True,True,False,True,True,False,True,True,False,True,False,True,False,11500.0
"[127.05494470096444, 37.56338415621336]",투룸,59.4,1,3,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4500
"[127.07965984089208, 37.62286074445288]",원룸,23.1,2,4,True,False,개별 난방,True,True,True,True,True,True,False,True,True,False,True,False,True,False,7500.0
"[127.0397632272, 37.561400845]",원룸,26.4,1,5,False,False,개별 난방,False,True,True,False,True,True,False,True,True,True,True,False,False,False,8500.0
"[126.92310844369116, 37.583413628590726]",투룸,42.9,3,3,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7500
"[127.0662955764357, 37.54367530857659]",투룸,46.2,2,4,False,False,개별 난방,False,True,True,False,False,False,False,True,True,False,True,False,True,False,16500.0
"[126.91741879542211, 37.589046395580766]",1.5룸,26.4,5,6,False,True,개별 난방,False,False,True,False,False,True,False,True,True,False,True,True,True,False,6500.0
"[127.05575657103508, 37.58963874984616]",원룸,18.2,4,13,False,True,중앙 난방,False,True,False,False,False,False,False,True,False,True,False,False,False,False,6500.0
