,Unnamed: 0,id,loc,room_type,size,room_floor,building_floor,parking,elevator,heat_type,animal,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,bidet,price,distance_park,distance_md,distance_gn
1137,1137,566f67b405ed76303fe409da,"[127.07022733963404, 37.54205123683433]",원룸,19.8,3,5,True,True,개별 난방,False,True,True,False,True,True,False,True,True,False,True,False,True,False,7300.0,1.19767900033,12.1181859726,8.03282906647
1138,1138,5785aa01e9517b5c0ac5c523,"[127.06769950613537, 37.54456109526222]",원룸,19.8,1,3,False,False,개별 난방,False,True,True,False,False,False,False,False,True,False,True,False,True,False,5500.0,1.43201116674,11.7977810972,7.89752518931
1139,1139,5580de38e4b0d6cf3e58a9a9,"[127.0676042364, 37.5443196821]",투룸,49.5,1,3,False,False,개별 난방,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6500.0,1.4112739419,11.7903255854,7.87677818641
1140,1140,57d7e185b464fc0ceeb4dd74,"[127.06505506973646, 37.54330478678645]",투룸,46.2,4,6,True,True,개별 난방,False,True,True,False,False,False,False,True,True,True,False,False,True,False,27100.0,1.38789191731,11.5176651499,7.57984212961
1141,1141,57ef34efc7a71a5a05c76c60,"[127.0860240031, 37.538541303]",투룸,42.9,3,3,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,True,False,15100.0,1.96205665126,13.9475590493,9.5289480897
1142,1142,57ee127896af6217db3e64eb,"[127.06882984173762, 37.54321975493817]",원룸,23.1,3,5,False,False,개별 난방,False,True,True,False,False,False,False,True,True,False,True,False,True,False,5400.0,1.29947721564,11.9438199016,7.94615882294
1143,1143,57146b95d4468479a45004e2,"[127.07829327430495, 37.53808897345158]",원룸,26.4,3,6,True,True,개별 난방,True,True,True,False,False,True,False,True,True,True,False,False,False,False,6000.0,1.32993292781,13.0863308831,8.69929350532
1144,1144,57c40e0d9dba0d2b3c2311ff,"[127.06688382397137, 37.54349477699657]",원룸,18.2,1,2,False,False,개별 난방,False,True,True,False,False,False,False,True,True,False,True,False,True,False,5200.0,1.34935033461,11.7207416855,7.76735030712
1145,1145,577f7403d8ff91532b0ff1b6,"[127.0702807909198, 37.54595433365481]",원룸,16.5,1,3,False,False,개별 난방,False,True,True,False,False,False,False,False,True,False,True,False,True,False,5000.0,1.55581436273,12.0712146149,8.21585326229
1146,1146,57a2f3baa42f721b287c85ca,"[127.08438393518193, 37.5370432221951]",원룸,25.3,12,15,True,True,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,True,False,8150.0,1.78598291453,13.7867340845,9.3044883953
