loc,room_type,size,room_floor,building_floor,parking,elevator,heat_type,animal,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,bidet,price
"[127.00993682316835, 37.55697061314327]",투룸,42.9,4,7,False,False,개별 난방,False,True,True,False,False,True,False,True,False,True,False,False,True,False,20700.0
"[126.9922714641424, 37.56569963478208]",원룸,9.9,3,5,False,False,중앙 난방,False,True,True,True,True,True,True,True,True,False,True,True,True,False,4520
"[127.0118436728, 37.5631080284]",쓰리룸,72.6,4,4,True,False,개별 난방,True,False,False,False,False,False,False,False,False,False,False,False,False,False,24600.0
"[127.0169050338, 37.5619144927]",투룸,49.5,2,2,False,False,개별 난방,True,False,False,False,False,False,False,False,False,False,False,False,False,False,15000
"[126.9947260875059, 37.5559293603985]",원룸,26.4,3,3,False,False,지역 난방,False,False,True,True,False,False,False,True,True,True,False,False,False,False,5600.0
"[127.0206270636464, 37.56397538109723]",원룸,19.8,2,5,True,False,개별 난방,False,True,True,False,True,False,False,True,True,False,True,False,True,False,6400.0
"[127.01664336616349, 37.566037489131276]",오피스텔,26.4,10,22,True,True,개별 난방,False,True,True,False,True,True,False,True,True,True,True,True,True,True,9500.0
"[127.01227733898915, 37.55723348420487]",원룸,26.4,3,4,False,False,개별 난방,False,True,True,False,False,False,False,False,True,True,False,False,True,False,5800.0
"[127.02311867142038, 37.568861921513246]",원룸,19.8,3,4,False,False,개별 난방,True,True,True,False,False,True,False,True,True,False,True,False,True,False,6600.0
"[127.0132377593, 37.5611184798]",1.5룸,39.6,5,5,False,False,개별 난방,False,False,False,False,False,False,False,False,False,True,False,False,True,False,7000.0
"[126.98076935479594, 37.5563351629971]",원룸,23.1,1,4,True,False,개별 난방,False,True,True,False,False,True,False,False,True,False,True,False,True,False,8600.0
"[127.0219985196336, 37.56274617440856]",쓰리룸,66.0,1,2,True,False,개별 난방,False,False,False,False,False,False,False,True,False,True,False,False,False,False,16000
"[127.0217287676, 37.5692550196]",1.5룸,39.6,6,10,True,True,개별 난방,True,True,True,False,False,False,False,True,True,True,False,False,True,False,11200.0
"[126.96998769910715, 37.563558910036356]",원룸,36.3,6,12,True,False,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,False,True,28000.0
"[127.0174309257, 37.5650138439]",투룸,39.6,4,4,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7800.0
"[127.0157363138, 37.5587287293]",투룸,72.6,2,3,False,False,개별 난방,False,False,False,False,False,False,False,True,False,True,False,False,True,False,13000
"[127.00181105599908, 37.56710903154925]",원룸,19.8,9,13,True,True,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,True,False,6600.0
"[127.01664336616349, 37.566037489131276]",오피스텔,24.6,13,20,True,True,개별 난방,False,True,True,False,False,True,True,True,True,False,True,True,True,True,9300.0
"[127.01570905038066, 37.55824940243208]",원룸,16.5,1,1,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3200
"[126.96780240017276, 37.560195814896225]",원룸,9.9,4,5,False,False,중앙 난방,False,True,True,True,True,True,True,True,True,True,True,True,True,False,4510
"[126.9684593819662, 37.55892738848226]",원룸,9.9,3,4,False,False,중앙 난방,False,True,True,True,True,True,True,True,True,True,True,False,False,False,2810
"[127.0011997131, 37.5601569512]",투룸,42.9,1,1,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9000
"[126.9817467235163, 37.55822380859089]",아파트,33.8,12,31,True,True,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,True,True,20900.0
"[127.0217048289, 37.5647752726]",투룸,46.2,3,4,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7000
"[127.0002671171575, 37.563299633404846]",오피스텔,23.1,5,20,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,True,8200.0
"[127.00538782357823, 37.56616467876273]",오피스텔,29.7,5,15,True,True,개별 난방,True,True,True,True,True,True,True,True,True,False,True,False,False,False,10500.0
"[127.0102901166, 37.5583184749]",쓰리룸,66.0,2,4,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20200.0
"[127.0117388906, 37.5589526417]",투룸,49.5,3,4,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11800.0
"[127.02327190613819, 37.56658417415583]",오피스텔,22.5,7,19,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,False,8200.0
"[126.96822769418286, 37.56081941992014]",오피스텔,29.7,4,36,True,True,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,True,False,21600.0
"[127.01869854376142, 37.56467127140603]",원룸,26.4,3,3,False,False,개별 난방,False,True,False,False,True,False,False,False,False,True,False,False,False,False,6000
"[127.0184856563394, 37.56428567853519]",원룸,19.8,2,2,False,False,개별 난방,False,False,True,False,False,False,True,True,True,True,False,False,False,False,3800
"[126.99952911802151, 37.568287546969586]",원룸,6.6,3,5,False,False,중앙 난방,False,False,False,True,True,True,True,True,True,False,False,False,False,False,3010
"[127.00191517833969, 37.566586452283495]",오피스텔,19.8,5,12,True,True,개별 난방,True,True,True,False,False,True,False,True,True,True,False,False,True,False,8300.0
"[127.01721778837357, 37.5635182213605]",투룸,39.6,3,5,True,True,개별 난방,False,True,True,False,False,False,True,True,True,True,False,False,True,False,23200.0
