,id,loc,room_type,size,room_floor,building_floor,parking,elevator,heat_type,animal,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,bidet,price
33,57ca3103379542559f3173e8,"[127.01544511451138, 37.48578358806422]",오피스텔,9.9,7,15,True,True,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,4000.0
34,57c7c44cbbb5fb201d61d3dd,"[127.00996413416381, 37.49004053909274]",투룸,49.5,2,5,True,True,개별 난방,True,True,False,False,False,False,False,False,True,False,True,False,True,True,34600.0
35,57e8a8ffc556e96197b614f7,"[127.01290798906814, 37.48650830311589]",1.5룸,39.6,21,24,True,True,개별 난방,True,True,False,False,False,True,False,True,False,True,False,False,True,False,10750.0
36,56711aeeb357651b8c78ee78,"[127.01330579541576, 37.48539461276599]",오피스텔,19.1,8,20,True,True,개별 난방,False,True,True,True,False,False,True,True,True,False,True,True,True,True,8300.0
37,5790568e6bd17825d5a13223,"[127.00905069574947, 37.49173450673063]",오피스텔,19.8,6,9,True,True,개별 난방,True,True,True,False,True,True,False,True,True,True,False,False,True,False,11700.0
38,57e24979720a850fa7e2bd54,"[127.01290798906814, 37.48650830311589]",오피스텔,43.1,10,24,True,True,개별 난방,False,True,False,False,False,True,False,True,False,True,False,False,True,False,15000.0
39,569ddb6d7cde391767b36175,"[127.01515120637589, 37.48612600926097]",오피스텔,21.1,8,14,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,False,7300.0
40,568b7ec03927ab0d11d6007f,"[127.00871584204958, 37.49048393352305]",오피스텔,29.7,4,13,True,True,개별 난방,False,True,True,False,False,True,False,False,True,True,False,False,True,False,10200.0
41,57c3ef8952354710e9cc21b3,"[127.01545895969379, 37.4871278904702]",오피스텔,15.5,9,15,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,False,7300.0
42,57e4e67e7c18d36725802930,"[127.0130389816, 37.4855424079]",오피스텔,26.4,5,11,True,True,지역 난방,False,True,True,False,False,True,False,False,True,False,True,False,False,False,9000.0
43,57eeaa2cc73b2973fa0ab521,"[127.01509697908959, 37.48635307027442]",오피스텔,75.9,8,15,True,True,개별 난방,True,True,True,False,False,False,False,True,True,True,False,False,True,False,20570.0
44,57d22ec423e3192e81bda556,"[127.0131392892, 37.4901555576]",원룸,21.4,2,6,True,True,개별 난방,False,True,True,True,True,True,False,True,True,False,True,True,True,False,7800.0
45,56711c6e1015111bae90c8d9,"[127.01337360963568, 37.485246839737684]",오피스텔,19.1,8,20,True,True,개별 난방,False,True,True,True,False,False,True,True,True,False,True,True,True,True,8300.0
46,57c17899524a5e14d4934326,"[127.02068512984077, 37.49556412467148]",오피스텔,33.0,2,15,True,True,개별 난방,True,True,True,True,True,True,True,True,True,True,False,False,True,False,12615.0
47,560392d69a7a756f51c2df17,"[127.02068512984077, 37.49556412467148]",원룸,24.8,13,15,True,True,개별 난방,False,True,True,True,True,False,False,True,True,True,False,True,True,False,10700.0
48,57c39cdf5d971c2ea168791c,"[127.00905069574947, 37.49173450673063]",원룸,19.8,3,12,True,False,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,False,11000.0
49,57ecb85554b40d2f1e10fbff,"[127.01544511451138, 37.48578358806422]",원룸,13.2,10,16,True,True,개별 난방,True,True,False,True,True,True,True,False,True,False,False,False,True,False,4235.0
50,57df8535195b772a2880096c,"[127.0121171119, 37.4902709958]",투룸,42.9,4,6,True,True,개별 난방,True,True,True,False,False,False,False,True,True,True,False,False,True,False,15600.0
51,55bed1ea2184776083a8e432,"[127.01290798906814, 37.48650830311589]",오피스텔,39.6,8,24,True,True,개별 난방,True,True,False,False,False,False,False,True,False,True,False,False,False,False,10750.0
52,57e36daf50923b146a8c89b1,"[127.0116550964, 37.4859606204]",원룸,89.1,3,14,True,True,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,True,True,43500.0
53,56710f0d69ec7612a63e4e8c,"[127.01509697908959, 37.48635307027442]",투룸,49.5,6,14,True,True,개별 난방,False,True,True,False,False,True,False,True,False,True,False,False,True,True,18000.0
54,5784aec379736d5c0e0493cb,"[127.01545895969379, 37.4871278904702]",원룸,19.8,14,17,True,True,개별 난방,True,True,False,False,False,True,True,False,True,True,False,False,True,False,6050.0
55,57e63ef8d047d0215ab1153d,"[127.01426511850241, 37.488075901077885]",오피스텔,16.5,8,15,True,True,개별 난방,False,True,True,False,False,False,False,False,True,True,False,False,True,False,6800.0
56,57e88a75e6878e32f2d59933,"[127.01511503092662, 37.48615845019104]",오피스텔,20.5,6,15,True,True,개별 난방,False,True,True,False,False,True,False,False,True,False,True,False,True,False,7200.0
57,57d60cb7ee918a776b2da174,"[127.0159519933, 37.4873512749]",원룸,21.5,6,6,True,True,개별 난방,False,True,True,False,False,True,False,True,True,True,False,True,True,False,10000.0
58,57c14e57bac4c0128438471a,"[127.01811534778692, 37.49333725746262]",원룸,19.8,5,6,False,True,개별 난방,False,True,True,False,False,False,False,True,True,True,False,False,False,False,5500.0
59,57f318c886b1be185a622c8b,"[127.01544511451138, 37.48578358806422]",오피스텔,9.9,6,15,True,True,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,4000.0
60,57c6b00f3c017b45f1a90250,"[127.01190906539175, 37.49034309761028]",투룸,39.6,5,6,True,True,개별 난방,False,True,True,False,False,False,False,True,True,False,True,False,True,False,28600.0
61,57e87fabcaf8320d17202195,"[127.0177924869, 37.4861076209]",투룸,82.5,3,5,True,False,개별 난방,False,True,True,True,False,True,True,True,True,True,False,False,True,False,14500.0
62,57e123a8b6f2bc29acb96399,"[127.0115878114126, 37.489561054909906]",원룸,23.1,2,3,True,False,개별 난방,False,True,True,False,True,True,False,True,True,True,False,False,True,False,11800.0
63,578ca6f2a749c63514fea978,"[127.00872941066278, 37.490480328490946]",오피스텔,33.0,12,13,True,True,개별 난방,False,True,True,True,True,True,False,True,False,False,True,False,True,True,9500.0
64,57e8aa0a7ffabb657e60f8f3,"[127.01290798906814, 37.48650830311589]",1.5룸,49.5,21,24,True,True,개별 난방,True,True,False,False,False,True,False,True,False,True,False,False,False,False,12000.0
65,57bb248d22655b2652fe48c3,"[127.01290798906814, 37.48650830311589]",1.5룸,46.2,5,24,True,True,개별 난방,True,True,False,False,False,True,False,True,False,True,False,False,True,False,25000.0
66,57c6b1245560d44b3e4e8f1b,"[127.02068512984077, 37.49556412467148]",오피스텔,26.4,11,15,True,True,개별 난방,True,True,True,True,True,True,True,True,True,False,True,True,True,False,10170.0
67,57c7c40622f62a3075baf04f,"[127.00996413416381, 37.49004053909274]",투룸,49.5,2,5,True,True,개별 난방,True,True,False,False,False,False,False,False,True,False,True,False,True,True,34600.0
68,57ce869236d657133e25c373,"[127.0155762227, 37.4855384966]",오피스텔,231.0,13,15,True,True,개별 난방,False,True,False,False,True,False,True,False,True,False,False,True,True,True,15015.0
69,57a541317e5b5f6a382d478a,"[127.01509697908959, 37.48635307027442]",오피스텔,78.0,4,15,True,True,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,True,False,20500.0
70,569318ae696d0e54d658e945,"[127.01544511451138, 37.48578358806422]",오피스텔,9.9,7,15,True,True,개별 난방,True,True,True,True,True,True,False,True,True,False,True,False,True,False,4300.0
71,57e10046a05426561b640245,"[127.01426511850241, 37.488075901077885]",오피스텔,16.5,8,15,True,True,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,True,False,6700.0
72,57ecb72e867d0a2f1d3a61d8,"[127.01544511451138, 37.48578358806422]",원룸,13.2,10,16,True,True,개별 난방,True,True,False,True,True,True,True,False,True,False,False,False,True,False,4235.0
73,577a2df1239e4209c9c9cbc8,"[127.01753062658807, 37.48807185763467]",원룸,16.5,4,5,True,True,개별 난방,False,True,True,True,True,True,True,True,True,False,True,True,True,False,7340.0
74,57e0d49dce83b66b635892fd,"[127.01511503092662, 37.48615845019104]",오피스텔,20.5,10,15,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,False,7200.0
75,57e9f4684b229071e100a0bd,"[127.01545895969379, 37.4871278904702]",원룸,18.2,5,15,True,True,개별 난방,True,True,True,False,False,True,False,True,True,True,False,False,False,False,6050.0
76,57f31688f7d6ab0c235da7d3,"[127.01544511451138, 37.48578358806422]",오피스텔,14.9,7,15,True,True,개별 난방,False,True,True,True,True,True,False,True,True,False,True,False,True,False,5300.0
77,5796d4032ff9a13856073b63,"[127.01414261386039, 37.48602161734033]",오피스텔,32.3,6,12,True,True,중앙 난방,False,True,True,False,False,True,False,True,True,True,False,False,True,False,8700.0
78,57eb29603dcfef1fd7090033,"[127.0126098484, 37.4886635465]",투룸,47.8,4,5,True,True,개별 난방,True,True,False,False,False,False,False,True,True,True,False,False,False,False,28700.0
79,57c156f038fbb3503678642a,"[127.01811534778692, 37.49333725746262]",원룸,16.5,5,5,True,True,개별 난방,False,True,True,False,False,False,False,True,True,True,False,False,True,False,5500.0
80,5784ad757bc5c95c1869efdf,"[127.01328318381017, 37.48540542741054]",원룸,23.1,15,20,True,True,개별 난방,True,True,True,False,False,True,False,True,True,True,False,False,True,False,7050.0
81,573d4854dfd71455009de2e9,"[127.01662551999698, 37.48566449476192]",원룸,33.0,2,4,True,False,개별 난방,False,True,True,False,False,False,False,False,False,True,False,False,True,False,8000.0
82,56c2ac56d4f4745f6d417a76,"[127.01621124596295, 37.49406915183734]",오피스텔,26.4,6,15,True,True,개별 난방,True,True,True,False,False,True,False,True,True,False,True,False,False,False,10060.0
83,57e39add6c3fa20fcd66783a,"[127.02068512984077, 37.49556412467148]",오피스텔,24.8,8,15,True,True,개별 난방,True,True,True,False,False,True,False,True,True,False,True,False,True,False,15450.0
84,577cd29fb42700487d2ef9ec,"[127.01509697908959, 37.48635307027442]",오피스텔,79.2,4,15,True,True,개별 난방,False,True,True,False,False,True,False,True,True,True,False,False,True,False,21000.0
85,57bea36891c93078c7de2dbf,"[127.01511503092662, 37.48615845019104]",오피스텔,22.8,8,15,True,True,개별 난방,False,True,True,False,False,True,False,True,True,False,True,False,True,False,7700.0
86,56a30ae2c08bc9654a26cfbc,"[127.02079179521171, 37.488730866500426]",원룸,26.4,2,3,False,False,개별 난방,False,True,True,False,False,False,True,True,True,False,True,False,False,False,8700.0
87,57c7ce6bd09c376cc637763b,"[127.01275468543766, 37.489276216253046]",투룸,52.8,2,5,True,True,개별 난방,True,True,False,False,False,False,False,False,True,False,True,False,True,False,15600.0
88,57ee38961341d9398f413e8e,"[127.01673019999403, 37.48861257843052]",원룸,13.2,1,3,False,False,중앙 난방,False,True,True,True,True,True,True,True,True,True,False,True,True,False,3010.0
89,57e4e2e7c8b4bc590b60941f,"[127.0130389816, 37.4855424079]",오피스텔,29.7,5,11,True,True,중앙 난방,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9500.0
90,567a4ab8a4ca207af857f01d,"[127.01559464694301, 37.48714228876759]",오피스텔,15.5,5,15,True,False,중앙 난방,False,True,True,False,True,True,False,True,True,False,True,False,True,False,7570.0
91,578edbf49667b21a560aa707,"[127.01919064167919, 37.488554539891624]",투룸,37.6,-1,2,False,False,개별 난방,False,False,False,False,False,False,False,False,False,False,False,False,True,False,10000.0
92,5714b53299fc8a7942ca2ed5,"[127.0145137819792, 37.487589326483686]",오피스텔,14.8,3,20,True,True,개별 난방,False,True,True,False,False,False,False,True,True,False,True,False,True,False,8900.0
93,57d62e6a2287a431540aa4c6,"[127.01136591849331, 37.48779149704272]",원룸,36.3,2,4,True,False,개별 난방,False,True,True,False,False,True,False,False,False,True,False,False,True,False,9500.0
94,57abd0cabd8b593869861cc5,"[127.02068512984077, 37.49556412467148]",오피스텔,26.4,6,15,True,True,개별 난방,False,True,True,False,False,False,False,False,True,False,True,True,False,False,17000.0
