,id,loc,fanc,distance_gn,distance_md,distance_park,room_type,size,room_floor,building_floor,parking,elevator,heat_type,animal,aircondition,laundry,bed,desk,closet,tv,shoes,refrigerator,gas,induction,microwave,doar_lock,bidet,price
2179,55e52772f2c55059b3ec4ab9,"[127.08053364247063, 37.62222585637542]",9.78046980336,13.9126829585,14.2040206185,7.98926253975,원룸,16.5,2,3,0,0,개별 난방,0,1,1,0,0,1,0,1,1,1,0,0,0,0,4300.0
2180,57bc12bc21eecd54ba5d9d73,"[127.07634082189702, 37.6250289110371]",9.79752692345,13.8483288924,13.8667131108,8.4728831953,원룸,19.8,3,3,0,0,개별 난방,0,1,1,1,1,1,1,1,1,0,1,0,0,0,5900.0
2181,57c801d56d64d00f3f23fff6,"[127.08165629963086, 37.621288058084964]",9.76595148616,13.9196763866,14.2900593799,7.84668079754,1.5룸,29.7,2,4,1,0,개별 난방,0,1,1,0,0,0,0,1,1,1,1,0,0,0,7800.0
2182,57c7f4786091ad3694d42e95,"[126.95397012308491, 37.511281316751734]",5.84939395067,6.2805419722,4.96733054398,2.28314612593,투룸,39.6,6,6,1,1,개별 난방,1,1,1,0,0,0,0,1,0,0,1,0,0,0,23500.0
2183,552a152ae4b0f67ae4fd1706,"[127.06899056292215, 37.54080858640409]",3.48612950492,7.85440019559,11.9983598554,1.07728224937,원룸,89.1,15,20,0,0,개별 난방,0,1,1,0,0,1,0,1,1,1,0,0,1,0,9700.0
2184,55064885e4b038bb9c26e0b0,"[126.92304931933701, 37.58365866019628]",6.91212828011,12.3842930235,5.16800360288,3.77381356351,원룸,23.1,4,5,0,0,개별 난방,0,1,1,0,1,1,0,1,1,0,1,0,1,0,5000.0
2185,57df4962512ceb4ebae550ee,"[127.0575826641, 37.590812767]",6.07201478582,10.0428157482,10.8144367629,5.82879419718,원룸,19.8,5,5,0,0,개별 난방,0,1,1,0,0,1,0,0,1,0,1,1,0,0,5500.0
2186,57bfce767775455720cb98bd,"[127.07155696705206, 37.626113093151744]",9.67271405104,13.6351761881,13.4134719834,8.87873714075,원룸,109.1,1,2,0,0,개별 난방,0,0,1,1,1,0,0,1,1,1,0,1,0,0,3400.0
2187,57bfb8b703c652570f208150,"[127.06881034108373, 37.54662554285]",3.67674081536,8.10455139804,11.8969231221,1.61275892427,원룸,19.8,4,7,0,0,개별 난방,0,1,1,0,0,1,0,1,1,1,0,0,1,0,7000.0
2188,569b31ba1439ae4eca0c2041,"[127.08002245341753, 37.62298303334642]",9.81477679314,13.934657747,14.1769438491,8.07955835598,원룸,19.8,4,5,1,0,개별 난방,0,1,1,0,1,0,0,1,1,0,1,0,1,0,6400.0
2189,5790a5858732ba19754c39ff,"[127.07663612595975, 37.62137431606185]",9.50847519983,13.5902758228,13.7637068539,8.18112506051,원룸,16.5,1,4,1,0,개별 난방,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3300.0
2190,56ced8233a366d5301b0df25,"[127.07302754602321, 37.61936920428246]",9.16689733664,13.2054430962,13.3129921319,8.29003831228,원룸,21.5,3,5,1,0,개별 난방,0,1,1,0,0,1,0,1,1,0,0,1,0,0,5500.0
2191,57e725e56b66a412b5fab8a7,"[127.0656579108, 37.5958613127]",6.85087464763,10.9540827377,11.820313273,6.15490239531,투룸,33.0,1,2,0,0,개별 난방,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5500.0
2192,5731972e60a1fc66c4d3adfe,"[127.06528665798741, 37.60122421645243]",7.2835361721,11.329606426,11.9139990817,6.65000306089,투룸,29.7,1,2,0,0,개별 난방,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000.0
2193,57e10ed5c58c1f677bc22d23,"[127.08433986125296, 37.61838859463347]",9.68936284728,13.8959380982,14.4790601669,7.45660281357,투룸,33.0,-1,4,1,0,개별 난방,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5400.0
2194,572ffa12d144c2434918ff5c,"[127.05728394963984, 37.591079605974286]",6.08413886781,10.0442273262,10.7870927249,5.86048019337,1.5룸,23.1,-1,2,0,0,개별 난방,0,1,1,0,0,0,0,1,0,1,0,0,1,0,3900.0
2195,57dd13883cbd171aba45a9fa,"[126.91839744858005, 37.584534905207995]",7.44586863528,12.8533320246,5.69289662521,3.46364862745,투룸,29.7,6,6,1,1,개별 난방,1,0,0,0,0,0,0,1,0,0,1,0,1,0,16400.0
2196,57e09671c0f9e71e150a73ec,"[127.0535235214, 37.5639830706]",3.60821184287,7.80121812859,10.0537800108,3.67080600267,투룸,75.9,2,3,0,0,개별 난방,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000.0
2197,57d3d872288cd96fabf3c536,"[127.0802975045, 37.6217358802]",9.72802462358,13.8604144473,14.1619921588,7.96684602963,원룸,19.8,5,5,1,0,개별 난방,0,1,1,1,1,1,0,1,1,0,1,0,1,0,4900.0
2198,57aa86cc0df6c704abd49560,"[127.06968796565796, 37.54609163684082]",3.74464363563,8.16435776735,12.002553396,1.56433115092,원룸,19.8,3,5,0,0,개별 난방,0,1,1,0,0,0,0,0,1,0,1,0,1,0,4800.0
2199,57ef4fc0eb089f68a70b0d2e,"[127.05537858890199, 37.59295097457004]",6.1825822591,10.0705302863,10.6189032529,6.0805772781,원룸,19.8,1,3,0,0,개별 난방,0,1,1,1,1,1,0,1,1,0,1,1,1,0,4600.0
2200,5763a87dc129212f91d00dec,"[127.05255561547006, 37.59113226156713]",5.93700784623,9.75927181617,10.2652828837,6.01250036941,원룸,33.0,2,4,0,0,개별 난방,0,1,1,1,1,1,0,1,1,1,0,1,0,0,7500.0
2201,57a9c92cc8c57d3f42e0b438,"[127.07606057365929, 37.62125215416991]",9.46976629834,13.5435598198,13.6988730881,8.21144210718,원룸,26.4,2,5,1,0,개별 난방,0,1,1,0,0,1,0,1,1,0,1,0,1,0,6400.0
2202,57c8ddc45ec93977bdb8da0c,"[126.95042927741781, 37.501938263741785]",6.79183794915,6.60405608781,5.90473731158,2.94362623961,원룸,16.5,4,4,0,0,중앙 난방,0,1,1,0,1,1,0,1,1,0,1,1,1,0,7100.0
2203,56ebaeb4cc812a7cd6e3527c,"[127.05979340246562, 37.59150002568959]",6.21836883273,10.2375808696,11.0742574135,5.83911555539,1.5룸,26.4,1,4,0,0,개별 난방,0,1,1,1,1,1,0,1,1,0,1,0,1,0,7500.0
2204,57b66ecf1bdd5b5f8dbb5494,"[127.08551292539579, 37.53884801419218]",3.15698800316,9.48534304024,13.8854692253,1.97508025135,원룸,18.1,3,4,1,0,개별 난방,0,1,1,0,0,1,0,1,1,0,1,0,0,0,5200.0
2205,57e3c42fc4bcd3073cf576da,"[126.95029432615526, 37.50079212762181]",6.88976922796,6.61786690427,6.01016921398,3.00495950168,원룸,23.1,3,5,0,1,개별 난방,0,1,1,0,1,1,0,0,1,0,1,1,1,0,6600.0
2206,57c235d0ecd1a17c87ea9531,"[127.0566768084129, 37.590759145879936]",6.03417237084,9.98135105898,10.7128826595,5.84824977261,원룸,16.5,9,13,0,1,개별 난방,0,1,1,1,1,1,0,0,1,0,1,0,1,0,7000.0
