기간,district,dong,totalbanks,koreabank,woori,sc,kb,sinhan,city,keb,zibang,ibk,nh,soohyub,kdb,export,foreign
2015,서초구,방배1동,5,-,-,-,1,1,1,2,-,-,-,-,-,-,-
2015,서초구,방배2동,2,-,1,-,-,-,-,-,1,-,-,-,-,-,-
2015,서초구,방배3동,4,-,1,-,1,-,-,1,-,1,-,-,-,-,-
2015,서초구,방배4동,13,-,1,-,3,3,1,1,1,1,2,-,-,-,-
2015,서초구,양재1동,13,-,3,-,2,2,1,3,-,1,-,1,-,-,-
2015,서초구,양재2동,14,-,2,1,1,4,-,2,-,1,3,-,-,-,-
2015,서초구,내곡동,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-
2015,강남구,소계,351,1,61,16,57,52,19,65,11,25,28,8,7,-,1
2015,강남구,신사동,14,-,2,-,3,4,1,1,-,1,1,1,-,-,-
2015,강남구,논현1동,18,-,2,1,2,2,1,4,-,3,2,1,-,-,-
2015,강남구,논현2동,25,-,5,1,5,2,-,7,-,1,2,1,1,-,-
2015,강남구,삼성1동,32,-,6,1,4,4,-,11,1,2,2,-,1,-,-
2015,강남구,삼성2동,19,-,4,2,1,3,-,2,2,2,2,1,-,-,-
2015,강남구,대치1동,16,-,1,1,1,1,2,4,2,1,1,-,2,-,-
2015,강남구,대치4동,16,-,3,-,2,4,-,2,-,2,1,1,-,-,1
2015,강남구,역삼1동,57,-,8,4,13,9,3,7,1,4,5,3,-,-,-
2015,강남구,역삼2동,17,1,4,1,2,2,1,1,1,2,2,-,-,-,-
2015,강남구,도곡1동,12,-,3,-,1,2,1,1,1,1,2,-,-,-,-
2015,강남구,도곡2동,23,-,5,2,4,3,1,4,-,2,1,-,1,-,-
2015,강남구,개포1동,2,-,-,-,-,1,-,1,-,-,-,-,-,-,-
2015,강남구,개포4동,5,-,1,-,2,-,-,1,-,-,1,-,-,-,-
2015,강남구,일원본동,5,-,1,-,1,2,-,1,-,-,-,-,-,-,-
2015,강남구,일원1동,3,-,1,-,-,-,-,1,-,-,1,-,-,-,-
2015,강남구,일원2동,3,-,1,-,1,-,-,1,-,-,-,-,-,-,-
2015,강남구,수서동,4,-,1,-,1,-,-,1,-,1,-,-,-,-,-
2015,강남구,세곡동,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
2015,강남구,압구정동,32,-,5,3,5,5,2,7,1,2,1,-,1,-,-
2015,강남구,청담동,20,-,4,-,3,2,3,4,1,1,2,-,-,-,-
2015,강남구,대치2동,23,-,3,-,5,5,4,4,1,-,1,-,-,-,-
2015,강남구,개포2동,4,-,1,-,1,1,-,-,-,-,-,-,1,-,-
2015,송파구,소계,152,-,30,9,26,26,3,30,2,7,12,5,2,-,-
2015,송파구,풍납1동,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
2015,송파구,풍납2동,5,-,1,-,-,1,-,3,-,-,-,-,-,-,-
2015,송파구,거여2동,4,-,1,-,1,-,-,1,-,-,1,-,-,-,-
2015,송파구,마천1동,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-
2015,송파구,마천2동,2,-,-,-,1,1,-,-,-,-,-,-,-,-,-
2015,송파구,방이1동,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-
2015,송파구,방이2동,6,-,2,-,1,1,-,1,-,1,-,-,-,-,-
2015,송파구,오륜동,7,-,1,-,1,1,-,3,-,-,-,1,-,-,-
2015,송파구,오금동,7,-,-,-,1,1,-,2,-,1,1,1,-,-,-
2015,송파구,송파1동,7,-,1,1,2,-,-,1,-,1,1,-,-,-,-
2015,송파구,송파2동,3,-,1,-,-,1,-,1,-,-,-,-,-,-,-
2015,송파구,석촌동,8,-,3,-,-,2,-,2,-,-,-,1,-,-,-
2015,송파구,삼전동,5,-,1,-,3,-,-,-,-,1,-,-,-,-,-
2015,송파구,가락본동,10,-,1,1,2,1,-,2,-,1,2,-,-,-,-
2015,송파구,가락1동,4,-,1,-,-,-,-,-,-,-,2,1,-,-,-
2015,송파구,가락2동,6,-,2,-,1,1,-,1,-,-,1,-,-,-,-
2015,송파구,문정1동,3,-,-,1,-,1,-,1,-,-,-,-,-,-,-
2015,송파구,문정2동,9,-,2,1,2,2,1,1,-,-,-,-,-,-,-
2015,송파구,장지동,4,-,-,-,1,1,-,1,-,-,1,-,-,-,-
2015,송파구,위례동,2,-,1,-,-,1,-,-,-,-,-,-,-,-,-
2015,송파구,잠실본동,9,-,2,1,2,1,-,2,-,-,1,-,-,-,-
2015,송파구,잠실4동,5,-,2,-,2,1,-,-,-,-,-,-,-,-,-
2015,송파구,잠실6동,17,-,3,1,1,4,1,4,-,-,1,1,1,-,-
2015,송파구,잠실7동,5,-,1,1,1,1,-,1,-,-,-,-,-,-,-
2015,송파구,잠실2동,9,-,1,-,1,-,1,1,2,1,1,-,1,-,-
2015,송파구,잠실3동,11,-,2,-,3,4,-,2,-,-,-,-,-,-,-
2015,강동구,소계,73,-,15,4,14,9,2,14,2,7,4,2,-,-,-
2015,강동구,강일동,5,-,-,-,2,-,-,1,-,2,-,-,-,-,-
2015,강동구,상일동,4,-,1,-,1,1,-,1,-,-,-,-,-,-,-
2015,강동구,명일1동,7,-,1,1,1,2,-,2,-,-,-,-,-,-,-
2015,강동구,명일2동,8,-,1,1,1,1,1,2,-,-,1,-,-,-,-
2015,강동구,고덕2동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
2015,강동구,암사2동,3,-,1,-,1,1,-,-,-,-,-,-,-,-,-
2015,강동구,암사3동,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
2015,강동구,천호1동,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-
2015,강동구,천호3동,2,-,-,-,-,1,-,-,-,1,-,-,-,-,-
2015,강동구,성내1동,6,-,1,-,1,-,1,1,-,1,1,-,-,-,-
2015,강동구,성내2동,5,-,1,1,1,-,-,1,1,-,-,-,-,-,-
2015,강동구,성내3동,6,-,1,-,1,1,-,2,-,1,-,-,-,-,-
2015,강동구,둔촌1동,2,-,-,-,1,-,-,1,-,-,-,-,-,-,-
2015,강동구,둔촌2동,6,-,3,1,1,-,-,1,-,-,-,-,-,-,-
2015,강동구,암사1동,3,-,-,-,-,-,-,1,-,1,-,1,-,-,-
2015,강동구,천호2동,4,-,-,-,1,1,-,1,-,-,1,-,-,-,-
2015,강동구,길동,9,-,3,-,1,1,-,-,1,1,1,1,-,-,-
