period,district,dong,population,elder
2016.2/4,강북구,수유3동,24178,3811
2016.2/4,강북구,삼양동,30101,4524
2016.2/4,강북구,미아동,23732,3603
2016.2/4,강북구,송중동,29983,4910
2016.2/4,강북구,송천동,30477,5159
2016.2/4,강북구,삼각산동,34664,3570
2016.2/4,강북구,우이동,21982,3964
2016.2/4,강북구,인수동,33120,5738
2016.2/4,도봉구,소계,352164,49576
2016.2/4,도봉구,쌍문1동,22651,3554
2016.2/4,도봉구,쌍문2동,21328,3107
2016.2/4,도봉구,쌍문3동,17933,2756
2016.2/4,도봉구,쌍문4동,20978,2315
2016.2/4,도봉구,방학1동,31463,4390
2016.2/4,도봉구,방학2동,22703,3487
2016.2/4,도봉구,방학3동,30626,3632
2016.2/4,도봉구,창1동,27842,3653
2016.2/4,도봉구,창2동,31276,3972
2016.2/4,도봉구,창3동,15700,2377
2016.2/4,도봉구,창4동,29645,3426
2016.2/4,도봉구,창5동,26991,3317
2016.2/4,도봉구,도봉1동,23521,4572
2016.2/4,도봉구,도봉2동,29507,5018
2016.2/4,노원구,소계,576782,70065
2016.2/4,노원구,월계1동,24096,3401
2016.2/4,노원구,월계2동,27480,4247
2016.2/4,노원구,월계3동,34268,4694
2016.2/4,노원구,공릉2동,45030,4318
2016.2/4,노원구,하계1동,30043,3506
2016.2/4,노원구,하계2동,24866,2647
2016.2/4,노원구,중계본동,28145,2410
2016.2/4,노원구,중계1동,29469,2064
2016.2/4,노원구,중계4동,22578,3181
2016.2/4,노원구,상계1동,42706,5468
2016.2/4,노원구,상계2동,22168,2641
2016.2/4,노원구,상계5동,27976,4166
2016.2/4,노원구,상계8동,25897,2263
2016.2/4,노원구,상계9동,23535,2535
2016.2/4,노원구,상계10동,19521,1962
2016.2/4,노원구,상계3.4동,31721,5724
2016.2/4,노원구,상계6.7동,36762,3829
2016.2/4,노원구,중계2.3동,40052,6117
2016.2/4,노원구,공릉1동,40469,4892
2016.2/4,은평구,소계,499850,70590
2016.2/4,은평구,녹번동,33206,5091
2016.2/4,은평구,불광1동,43034,6339
2016.2/4,은평구,갈현1동,25982,3783
2016.2/4,은평구,갈현2동,30704,3961
2016.2/4,은평구,구산동,34443,4983
2016.2/4,은평구,대조동,33660,4944
2016.2/4,은평구,응암1동,28902,3957
2016.2/4,은평구,응암2동,21237,2771
2016.2/4,은평구,신사1동,28639,3807
2016.2/4,은평구,신사2동,22325,3037
2016.2/4,은평구,증산동,19880,2963
2016.2/4,은평구,수색동,16281,2687
2016.2/4,은평구,진관동,53790,6068
2016.2/4,은평구,불광2동,29883,4878
2016.2/4,은평구,응암3동,27363,4659
2016.2/4,은평구,역촌동,50521,6662
2016.2/4,서대문구,소계,327113,47411
2016.2/4,서대문구,천연동,19936,3060
2016.2/4,서대문구,홍제1동,25237,3895
2016.2/4,서대문구,홍제3동,19669,3481
2016.2/4,서대문구,홍제2동,15305,2330
2016.2/4,서대문구,홍은1동,24253,3961
2016.2/4,서대문구,홍은2동,30670,4543
2016.2/4,서대문구,남가좌1동,15973,1679
2016.2/4,서대문구,남가좌2동,25270,3974
2016.2/4,서대문구,북가좌1동,19895,2613
2016.2/4,서대문구,북가좌2동,34781,5075
2016.2/4,서대문구,충현동,19361,2992
2016.2/4,서대문구,북아현동,12560,1766
2016.2/4,서대문구,신촌동,22585,2109
2016.2/4,서대문구,연희동,41618,5933
2016.2/4,마포구,소계,395687,48584
2016.2/4,마포구,용강동,22311,2504
2016.2/4,마포구,대흥동,14753,1883
2016.2/4,마포구,염리동,12754,1761
2016.2/4,마포구,신수동,21879,2798
2016.2/4,마포구,서교동,28008,3269
2016.2/4,마포구,합정동,19874,2374
2016.2/4,마포구,망원1동,22541,3022
2016.2/4,마포구,망원2동,20801,2627
2016.2/4,마포구,연남동,18950,2445
2016.2/4,마포구,성산1동,21186,2653
2016.2/4,마포구,성산2동,40146,5133
2016.2/4,마포구,상암동,33965,3387
2016.2/4,마포구,도화동,23566,3345
2016.2/4,마포구,서강동,26517,2750
2016.2/4,마포구,공덕동,39780,5349
2016.2/4,마포구,아현동,28656,3284
2016.2/4,양천구,소계,486258,51278
2016.2/4,양천구,목1동,33113,2384
2016.2/4,양천구,목2동,32089,3089
2016.2/4,양천구,목3동,21974,2491
2016.2/4,양천구,목4동,27970,2590
2016.2/4,양천구,신월1동,23750,3100
2016.2/4,양천구,신월2동,23487,2892
2016.2/4,양천구,신월3동,18519,2366
2016.2/4,양천구,신월4동,20063,2365
2016.2/4,양천구,신월5동,16531,1835
2016.2/4,양천구,신월6동,9417,1225
2016.2/4,양천구,신월7동,23766,3273
2016.2/4,양천구,신정1동,20069,1997
2016.2/4,양천구,신정2동,21707,2081
2016.2/4,양천구,신정3동,55474,6019
2016.2/4,양천구,신정6동,26086,1960
2016.2/4,양천구,신정7동,31895,3866
2016.2/4,양천구,목5동,44231,3208
2016.2/4,양천구,신정4동,36117,4537
2016.2/4,강서구,소계,598190,69551
2016.2/4,강서구,염창동,41728,3285
2016.2/4,강서구,등촌1동,22870,2314
2016.2/4,강서구,등촌2동,21837,2343
2016.2/4,강서구,등촌3동,35557,5103
2016.2/4,강서구,화곡본동,36844,3765
2016.2/4,강서구,화곡2동,20414,2285
2016.2/4,강서구,화곡3동,23423,3099
2016.2/4,강서구,화곡4동,23258,2908
2016.2/4,강서구,화곡6동,25823,2816
2016.2/4,강서구,화곡8동,27502,3436
2016.2/4,강서구,가양1동,25964,2247
2016.2/4,강서구,가양2동,16647,3001
2016.2/4,강서구,가양3동,17485,2793
2016.2/4,강서구,발산1동,40300,3714
2016.2/4,강서구,공항동,21212,2819
2016.2/4,강서구,방화1동,44898,4928
2016.2/4,강서구,방화2동,25260,3927
2016.2/4,강서구,방화3동,26140,3889
2016.2/4,강서구,화곡1동,53975,6471
2016.2/4,강서구,우장산동,47053,4408
2016.2/4,구로구,소계,453526,54863
2016.2/4,구로구,신도림동,38343,3637
2016.2/4,구로구,구로1동,22914,1857
2016.2/4,구로구,구로3동,28345,2835
2016.2/4,구로구,구로4동,29245,3834
2016.2/4,구로구,구로5동,35445,3809
2016.2/4,구로구,고척1동,25474,3314
2016.2/4,구로구,고척2동,30438,3900
2016.2/4,구로구,개봉2동,34869,4732
2016.2/4,구로구,개봉3동,22441,2926
2016.2/4,구로구,오류1동,21915,3006
2016.2/4,구로구,오류2동,46339,5760
2016.2/4,구로구,수궁동,25961,3239
2016.2/4,구로구,가리봉동,18254,2048
2016.2/4,구로구,구로2동,37588,5036
2016.2/4,구로구,개봉1동,35955,4930
2016.2/4,금천구,소계,254662,31704
2016.2/4,금천구,가산동,23762,2161
2016.2/4,금천구,독산1동,34003,4037
2016.2/4,금천구,독산2동,23316,2699
2016.2/4,금천구,독산3동,31691,3705
2016.2/4,금천구,독산4동,19542,2276
2016.2/4,금천구,시흥1동,38593,4847
2016.2/4,금천구,시흥2동,24438,3261
2016.2/4,금천구,시흥3동,12626,1931
2016.2/4,금천구,시흥4동,23629,3136
2016.2/4,금천구,시흥5동,23062,3651
2016.2/4,영등포구,소계,414901,52078
2016.2/4,영등포구,여의도동,34105,5253
2016.2/4,영등포구,당산1동,21421,2811
2016.2/4,영등포구,당산2동,36627,3860
2016.2/4,영등포구,양평1동,17427,2181
2016.2/4,영등포구,양평2동,22568,2131
2016.2/4,영등포구,신길1동,22118,3207
2016.2/4,영등포구,신길3동,17827,2395
2016.2/4,영등포구,신길4동,12843,1919
2016.2/4,영등포구,신길5동,16916,2303
2016.2/4,영등포구,신길6동,23340,3103
2016.2/4,영등포구,신길7동,13705,1394
2016.2/4,영등포구,대림1동,18611,2612
2016.2/4,영등포구,대림2동,23758,2649
2016.2/4,영등포구,대림3동,31032,3480
2016.2/4,영등포구,영등포본동,26629,3332
2016.2/4,영등포구,영등포동,20569,2760
2016.2/4,영등포구,도림동,23358,2820
2016.2/4,영등포구,문래동,32047,3868
2016.2/4,동작구,소계,413969,54580
2016.2/4,동작구,노량진2동,15222,2409
2016.2/4,동작구,상도1동,48516,5780
2016.2/4,동작구,상도2동,26066,3449
2016.2/4,동작구,상도3동,25820,3653
2016.2/4,동작구,상도4동,30427,4049
2016.2/4,동작구,사당1동,24021,2987
2016.2/4,동작구,사당3동,24782,3535
2016.2/4,동작구,사당4동,15207,2166
2016.2/4,동작구,사당5동,13485,1704
2016.2/4,동작구,대방동,40490,4668
2016.2/4,동작구,신대방1동,28118,3073
2016.2/4,동작구,신대방2동,21594,2604
2016.2/4,동작구,흑석동,35566,5244
2016.2/4,동작구,노량진1동,33839,4839
2016.2/4,동작구,사당2동,30816,4420
2016.2/4,관악구,소계,529254,66031
2016.2/4,관악구,보라매동,27017,3659
2016.2/4,관악구,청림동,17083,2334
2016.2/4,관악구,행운동,30469,3683
2016.2/4,관악구,낙성대동,18421,1828
2016.2/4,관악구,중앙동,15395,2084
2016.2/4,관악구,인헌동,28276,3367
2016.2/4,관악구,남현동,18874,2176
2016.2/4,관악구,서원동,24242,2774
2016.2/4,관악구,신원동,20243,2769
2016.2/4,관악구,서림동,25522,2848
2016.2/4,관악구,신사동,26842,2940
2016.2/4,관악구,신림동,21343,1756
2016.2/4,관악구,난향동,17190,2264
2016.2/4,관악구,조원동,20580,2365
2016.2/4,관악구,대학동,24316,2347
2016.2/4,관악구,은천동,36464,4696
2016.2/4,관악구,성현동,34323,4787
2016.2/4,관악구,청룡동,30018,3514
2016.2/4,관악구,난곡동,30791,4446
2016.2/4,관악구,삼성동,27925,4943
2016.2/4,관악구,미성동,33920,4451
2016.2/4,서초구,소계,450005,50125
2016.2/4,서초구,서초1동,21470,2419
2016.2/4,서초구,서초2동,21356,2274
2016.2/4,서초구,서초3동,30189,3853
2016.2/4,서초구,서초4동,29012,3068
2016.2/4,서초구,잠원동,33736,3090
2016.2/4,서초구,반포본동,13111,1715
2016.2/4,서초구,반포1동,30663,2635
2016.2/4,서초구,반포2동,19917,2148
