week1_pop,comp_score,rank1,rank2,rank3,rank4,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,director_score,act_score,pre_score,viewer_num,like_see,screen1
554996,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,132,7.78,408,13233,596
495248,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,31,8.48,277,2717,776
522978,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,149,8.12,1103,4085,499
412431,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6.43,2228,39795,518
320247,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,72,7.82,270,6556,368
286045,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,94,6.08,2071,9015,557
287918,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8.99,466,6385,483
335048,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,88,9.17,830,5859,600
316144,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,21,8.85,366,2757,341
361536,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,150,8.03,285,7380,536
402861,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,81,8.9,296,7092,512
185830,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.76,160,1000,363
337189,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8.2,259,3593,382
394400,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,143,6.54,1249,5465,572
385712,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,183,8.38,242,6851,503
317648,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.53,202,4059,482
298176,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,7.94,192,2153,348
319644,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,27,9.16,421,6860,430
335291,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,318,8.46,980,2953,637
268255,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,161,6.95,1147,5222,378
320108,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,169,8.77,227,8640,476
323629,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.39,284,3298,405
18400,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8.62,96,2589,386
247593,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,239,7.81,982,12459,544
198186,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.85,258,4017,375
249587,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8.9,336,3408,521
179136,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,9.27,467,5046,205
194167,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9.42,96,646,191
218615,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25,32,1719,341
240411,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,8.1,309,2023,359
186043,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9.4,86,5302,353
234720,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,151,8.73,173,3971,463
223805,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.29,1102,31698,467
182810,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,74,8.73,98,1176,390
163048,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8.47,248,1647,327
179462,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,172,8.49,260,10545,424
138001,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.46,938,26181,424
137681,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,183,9.37,491,3445,324
148757,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,186,9.01,187,2352,466
91691,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.76,34,2052,166
132958,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,3.92,2794,4677,296
124999,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,164,8.73,240,4687,385
97690,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,92,8.35,230,3583,315
80252,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69,291,1247,176
120410,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,213,7.29,726,5589,279
125467,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,83,9.04,320,1791,384
111449,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8.41,188,1993,331
85463,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.66,102,720,262
88215,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,83,8.96,536,8894,365
90659,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7.47,174,1951,312
25359,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.85,62,898,43
76967,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.95,82,606,231
